id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,25000,25000,25000, 60 months,16.91,620.11,C,C5,HR SPECIALIST,10+ years,MORTGAGE,130000,Source Verified,Dec-2018,Current,n,,,home_improvement,Home improvement,226xx,VA,21.05,0,Apr-2004,1,,,21,0,53396,89.1,40,w,24460.59,24460.59,1204.99,1204.99,539.41,665.58,0.0,0.0,0.0,Feb-2019,620.11,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,356547,1,2,1,4,5,32706,81,0,1,6426,86,59900,4,0,4,5,16978,1047,96.8,0,0,107,176,21,5,4,42,,5,,0,11,17,11,16,12,17,24,17,21,0,0,0,1,100,100,0,0,420648,86102,33000,40279,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,30800,30800,30800, 36 months,11.31,1012.89,B,B3,Library Information Specialist,10+ years,MORTGAGE,105000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,600xx,IL,25.65,0,Aug-2002,0,,,10,0,31705,65.9,20,f,29347.98,29347.98,1851.61,1851.61,1452.02,399.59,0.0,0.0,0.0,Feb-2019,1012.89,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,337707,0,3,0,1,17,15351,27,1,2,7841,45,48100,1,0,0,3,33771,15871,63.2,0,0,61,196,11,11,2,11,,17,,0,5,6,5,8,6,6,12,6,10,0,0,0,1,100,60,0,0,469095,47056,43100,57167,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,16000,16000, 36 months,6.46,490.1,A,A1,software developer,2 years,RENT,80000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,774xx,TX,7.31,0,Feb-2014,0,,,8,0,15014,27.8,9,w,15596.03,15596.03,481.49,481.49,403.97,77.52,0.0,0.0,0.0,Feb-2019,490.1,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,19297,0,0,1,1,11,0,,0,1,4498,33,54000,0,1,0,3,2412,38986,27.8,0,0,11,58,20,10,0,20,,,,0,6,6,7,7,1,7,7,6,8,0,0,0,2,100,42.9,0,0,59303,19297,54000,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,3600,3600,3600, 36 months,14.47,123.87,C,C2,Office Administrator,2 years,MORTGAGE,52000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,984xx,WA,16.43,0,Jan-1990,3,,53,8,1,7123,69.2,21,w,3438.11,3438.11,243.4,243.40,161.89,81.51,0.0,0.0,0.0,Feb-2019,123.87,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,18577,2,4,2,3,5,11454,75,0,0,4333,73,10300,3,0,3,3,2322,198,97.1,0,0,138,347,25,5,3,25,,0,,0,2,3,2,5,9,4,9,3,8,0,0,0,2,100,100,1,0,25500,18577,6900,15200,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,30000,30000,30000, 36 months,7.02,926.59,A,A2,Registered Nurse,4 years,MORTGAGE,92000,Not Verified,Dec-2018,Current,n,,,major_purchase,Major purchase,652xx,MO,12.91,0,Dec-2007,0,,,16,0,10606,16.6,28,w,28493.43,28493.43,1835.63,1835.63,1506.57,329.06,0.0,0.0,0.0,Feb-2019,926.59,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,183757,0,2,0,1,24,20250,48,3,4,4861,29,63800,0,2,4,6,11485,42371,19.8,0,0,105,132,8,8,5,8,,1,,0,3,4,10,10,6,12,17,4,16,0,0,0,3,100,0,0,0,288285,30856,52800,42550,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,1000,1000,1000, 36 months,23.4,38.92,E,E1,Patient care technician,4 years,MORTGAGE,39000,Not Verified,Dec-2018,Current,n,,,vacation,Vacation,902xx,CA,10.18,0,Mar-2012,0,,,5,0,0,0.0,7,f,960.78,960.78,75.89,75.89,39.22,36.67,0.0,0.0,0.0,Feb-2019,38.92,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,3856,0,2,1,1,7,3856,33,0,0,0,22,5800,1,0,1,1,964,5800,0,0,0,26,81,59,7,0,59,,7,,0,0,0,3,4,2,3,5,0,5,0,0,0,1,100,0,0,0,17613,3856,5800,11813,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,16000,16000, 36 months,6.46,490.1,A,A1,Registered nurse,10+ years,MORTGAGE,110000,Source Verified,Dec-2018,Current,n,,,home_improvement,Home improvement,142xx,NY,4.21,0,Nov-2002,0,,,11,0,6602,13.0,21,w,15189.89,15189.89,971.59,971.59,810.11,161.48,0.0,0.0,0.0,Feb-2019,490.1,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,134393,0,3,0,0,25,18367,46,1,3,3627,28,50600,0,0,4,3,12218,43998,13,0,0,184,193,12,12,2,12,,0,,0,2,2,6,9,9,6,10,2,11,0,0,0,1,100,0,0,0,237850,24969,50600,39593,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16800,16800,16800, 36 months,11.8,556.4,B,B4,Medical Coder,8 years,MORTGAGE,47800,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,680xx,NE,29.95,0,Sep-2003,0,,,8,0,10241,83.3,18,w,16013.75,16013.75,1096.28,1096.28,786.25,310.03,0.0,0.0,0.0,Feb-2019,556.4,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,105752,0,5,0,1,15,33072,68,0,0,5709,71,12300,1,0,0,1,13219,2059,83.3,0,0,148,183,56,15,2,88,,15,,0,2,2,2,5,8,2,8,2,8,0,0,0,0,100,50,0,0,129050,43313,12300,48383,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,6500,6500,6500, 36 months,10.33,210.75,B,B1,Custodian ,< 1 year,MORTGAGE,42000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,461xx,IN,27.69,0,Oct-2009,0,69,,13,0,7169,19.9,19,f,6189.08,6189.08,415.9,415.90,310.92,104.98,0.0,0.0,0.0,Feb-2019,210.75,Mar-2019,Feb-2019,1,,1,Individual,,,,0,11675,178602,1,2,1,2,10,11036,53,1,2,3843,32,36000,2,0,2,4,13739,14428,30.3,0,0,86,110,1,1,1,1,,7,,0,5,7,6,8,5,10,13,7,13,0,0,0,2,100,16.7,0,0,229791,18205,20700,21014,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,6500,6500,6500, 36 months,6.46,199.11,A,A1,Production Supervisor,3 years,MORTGAGE,40000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,454xx,OH,13.92,0,Apr-2011,1,,98,5,1,6393,35.5,6,w,6170.87,6170.87,384.23,384.23,329.13,55.10,0.0,0.0,0.0,Feb-2019,199.11,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,92577,1,1,0,1,22,12368,75,1,1,3427,54,18000,2,2,1,2,18515,10407,36.9,0,0,22,92,6,6,2,77,,6,,0,2,3,2,2,1,3,3,3,5,0,0,0,1,100,50,1,0,115093,18761,16500,16579,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 60 months,12.98,272.92,B,B5,,< 1 year,RENT,55000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,958xx,CA,21.73,0,Sep-2010,0,,85,10,1,8704,69.6,14,w,11712.21,11712.21,532.86,532.86,287.79,245.07,0.0,0.0,0.0,Feb-2019,272.92,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,85665,0,5,0,1,17,76961,93,0,1,0,90,12500,1,0,0,2,9518,1500,0,0,0,99,68,17,17,0,17,,13,,0,0,1,1,2,8,5,6,1,10,0,0,0,0,100,0,1,0,95048,85665,1500,82548,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,11500,11500,11500, 36 months,8.19,361.38,A,A4,President,10+ years,MORTGAGE,173370,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,550xx,MN,25.29,0,Oct-1999,0,,,20,0,101322,70.0,34,w,11217.11,11217.11,374.46,374.46,282.89,91.57,0.0,0.0,0.0,Feb-2019,382.31,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,509992,1,3,0,2,15,46707,42,3,4,14259,63,181400,1,1,0,7,25500,15228,83,0,0,167,230,1,1,2,11,,15,,0,10,11,10,12,13,16,19,11,20,0,0,0,3,100,70,0,0,632840,148029,89700,73440,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,40000,40000,40000, 36 months,8.19,1256.97,A,A4,Handbags Manager,9 years,MORTGAGE,55000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,919xx,CA,16.08,0,Sep-1998,0,74,,14,0,18908,23.8,23,w,39016.03,39016.03,1366.17,1366.17,983.97,382.20,0.0,0.0,0.0,Feb-2019,1393.47,Mar-2019,Feb-2019,0,,1,Joint App,220952,32.54,Not Verified,0,0,579998,2,1,0,0,29,14291,55,4,5,6675,32,79500,0,0,0,5,41428,46557,25,0,0,80,243,3,3,7,3,,,,0,5,8,8,9,2,12,14,8,14,0,0,0,4,95.5,0,0,0,675485,33199,62100,25985,109468,Apr-2000,0,7,24,73.4,5,25,0,0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,31000,31000,31000, 60 months,16.91,768.94,C,C5,Senior Project Coordinator,1 year,RENT,52000,Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,852xx,AZ,30.39,0,Aug-2008,1,,,13,0,32472,71.5,24,w,30331.12,30331.12,1334.03,1334.03,668.88,665.15,0.0,0.0,0.0,Feb-2019,768.94,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,54034,2,6,1,1,5,21562,63,1,2,9740,68,45400,0,2,3,3,4156,11728,73.5,0,0,124,102,2,2,0,2,,4,,0,5,5,6,7,16,7,8,5,13,0,0,0,2,100,33.3,0,0,79466,54034,44200,34066,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,20000,20000,20000, 60 months,20.89,539.84,D,D4,laborer,10+ years,RENT,38000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,386xx,MS,26.03,1,Mar-1987,0,8,,10,0,4233,36.2,22,w,19613.32,19613.32,1044.86,1044.86,386.68,658.18,0.0,0.0,0.0,Feb-2019,539.84,Mar-2019,Feb-2019,0,61,1,Individual,,,,0,58,27620,0,2,1,1,9,23387,69,0,0,2102,40,11700,0,0,0,1,3069,4177,35.7,0,0,248,381,42,9,0,107,61,,61,1,2,5,3,8,8,8,14,5,10,0,0,0,1,90.9,33.3,0,0,48749,27620,6500,37049,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,21000,21000,21000, 60 months,15.02,499.81,C,C3,Admission Counsellor,4 years,MORTGAGE,51000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,030xx,NH,22,0,Sep-2010,0,,,15,0,5629,13.0,17,w,20523.11,20523.11,973.34,973.34,476.89,496.45,0.0,0.0,0.0,Feb-2019,499.81,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,59030,0,10,1,2,12,53401,94,0,0,5466,59,43200,1,0,1,2,3935,37571,13,0,0,99,91,36,12,0,36,,12,,0,2,2,5,5,11,5,6,2,15,0,0,0,1,100,0,0,0,100200,59030,43200,57000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,23.4,389.19,E,E1,RN,2 years,MORTGAGE,90000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,631xx,MO,15.2,0,Sep-2003,2,,,6,0,6680,66.8,21,f,9607.83,9607.83,758.88,758.88,392.17,366.71,0.0,0.0,0.0,Feb-2019,389.19,Mar-2019,Feb-2019,0,,1,Individual,,,,0,831,237578,2,2,3,4,2,43984,99,0,0,4782,93,10000,1,3,6,6,39596,820,89.1,0,0,138,183,25,2,2,135,,3,,0,2,2,2,3,12,3,7,2,6,0,0,0,5,100,100,0,0,244056,50664,7500,44552,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,8400,8400,8400, 36 months,6.46,257.3,A,A1,Assistant Foreman,10+ years,MORTGAGE,130000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,258xx,WV,25.86,0,Nov-2006,0,,,15,0,13929,24.7,37,w,7974.70,7974.70,510.08,510.08,425.30,84.78,0.0,0.0,0.0,Feb-2019,257.3,Mar-2019,Feb-2019,0,,1,Joint App,260000,16.08,Not Verified,0,0,110520,0,6,2,3,8,75244,72,1,3,2371,50,56400,2,1,2,7,7368,30734,19.5,0,0,144,145,7,7,1,14,,8,,0,4,7,5,7,19,8,17,7,15,0,0,0,4,100,0,0,0,224889,89173,38200,146239,28675,May-2006,0,1,17,21.3,7,19,0,0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,30000,30000,30000, 60 months,10.33,642.3,B,B1,Account Manager,1 year,MORTGAGE,75000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,276xx,NC,7.89,0,Jun-2011,0,,,12,0,4726,8.2,16,w,29229.48,29229.48,1258.78,1258.78,770.52,488.26,0.0,0.0,0.0,Feb-2019,642.3,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,33155,0,1,1,1,7,28429,98,3,5,2086,38,57700,1,0,2,7,2763,52974,8.2,0,0,90,57,7,7,0,7,,7,,0,8,8,10,10,4,10,10,8,12,0,0,0,5,100,0,0,0,86651,33155,57700,28951,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,1600,1600,1575, 36 months,8.81,50.74,A,A5,Deli Manager,7 years,RENT,35000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,673xx,KS,4.7,0,Feb-2011,1,,,6,0,2682,59.6,11,f,1521.73,1497.95,100.31,98.74,78.27,22.04,0.0,0.0,0.0,Feb-2019,50.74,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,5532,1,4,0,0,51,2850,47,1,1,2178,52,4500,0,0,1,1,922,1818,59.6,0,0,94,55,1,1,0,1,,1,,0,2,2,2,2,6,2,5,2,6,0,0,0,1,100,50,0,0,10554,5532,4500,6054,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,13000,13000,13000, 60 months,22.35,361.64,D,D5,Assistant manager ,2 years,RENT,32000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,229xx,VA,19.5,0,Aug-2013,0,,,7,0,3160,32.2,12,w,12758.74,12758.74,699.07,699.07,241.26,457.81,0.0,0.0,0.0,Feb-2019,361.64,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,13731,0,2,2,2,7,10571,89,0,1,904,63,9800,1,0,2,3,1962,3254,29.3,0,0,62,64,19,7,0,19,,6,,0,2,5,2,4,4,5,8,5,7,0,0,0,2,91.7,0,0,0,21695,13731,4600,11895,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,25000,25000,25000, 60 months,11.8,553.59,B,B4,Relationship Banker,1 year,OWN,50000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,133xx,NY,25.71,0,Nov-2001,0,,,16,0,12974,28.6,27,w,24381.46,24381.46,1082.6,1082.60,618.54,464.06,0.0,0.0,0.0,Feb-2019,553.59,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,66576,1,2,0,2,17,32917,77,2,3,5055,52,45300,1,6,0,5,4161,18244,40,0,0,127,148,5,5,4,11,,22,,0,3,5,7,11,5,13,18,5,16,0,0,0,2,100,14.3,0,0,132987,45891,30400,42687,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 60 months,24.37,347.8,E,E2,Steam Ops/Electrical Supervisor,2 years,MORTGAGE,150000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,065xx,CT,11.58,0,Jan-2015,0,,,10,0,11250,37.1,14,w,11789.69,11789.69,671.23,671.23,210.31,460.92,0.0,0.0,0.0,Feb-2019,347.8,Mar-2019,Feb-2019,1,,1,Individual,,,,0,3199,301083,1,2,1,2,5,50000,54,3,3,4597,44,30300,6,0,9,7,30108,15550,42,0,0,33,47,9,5,2,9,,0,,0,3,3,6,6,5,7,7,3,10,0,0,0,4,100,50,0,0,337502,61250,26800,61348,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,2000,2000,1975, 36 months,16.91,71.22,C,C5,teacher,10+ years,MORTGAGE,64600,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,163xx,PA,24.82,6,Apr-2001,1,11,,7,0,8186,83.5,37,f,1913.32,1889.40,139.62,137.87,86.68,52.94,0.0,0.0,0.0,Feb-2019,71.22,Mar-2019,Feb-2019,0,12,1,Individual,,,,0,0,29094,0,3,0,1,24,20908,33,0,0,1180,40,9800,0,21,3,1,4156,120,90.8,0,0,182,212,28,24,1,28,13,1,12,0,1,4,1,3,25,4,11,4,7,0,0,2,0,81.1,100,0,0,72896,29094,1300,63096,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,24000,24000,24000, 60 months,10.72,518.48,B,B2,IT Project Manager,10+ years,RENT,83000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,191xx,PA,17.51,0,Aug-2004,0,,,7,0,23720,91.6,10,w,23389.12,23389.12,1015.52,1015.52,610.88,404.64,0.0,0.0,0.0,Feb-2019,518.48,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,172418,0,3,0,0,28,22726,52,0,0,18625,67,25900,0,0,0,0,24631,2180,91.6,0,0,47,96,48,28,2,48,,,,0,3,3,3,5,3,3,5,3,7,0,0,0,0,100,66.7,0,0,211571,46446,25900,43671,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,13000,13000,13000, 36 months,8.81,412.25,A,A5,Underground Miner,5 years,MORTGAGE,120000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,894xx,NV,7.3,0,Aug-2005,0,,,6,0,1823,22.0,10,w,12364.06,12364.06,814.96,814.96,635.94,179.02,0.0,0.0,0.0,Feb-2019,412.25,Mar-2019,Feb-2019,0,,1,Individual,,,,0,1274,262704,1,3,2,4,5,29398,83,1,1,1565,72,8300,2,0,4,5,43784,6477,22,0,0,160,62,7,5,1,7,,5,,0,2,2,2,2,7,2,2,2,6,0,0,0,3,100,0,0,0,299470,31221,8300,35389,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15000,15000,15000, 36 months,8.81,475.68,A,A5,Fork lifter,4 years,OWN,25000,Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,471xx,IN,1.2,0,May-2010,0,,,2,0,1108,31.7,4,f,14266.21,14266.21,940.35,940.35,733.79,206.56,0.0,0.0,0.0,Feb-2019,475.68,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,1108,0,0,0,0,103,0,,0,2,1108,32,3500,0,0,2,2,554,392,73.9,0,0,103,66,14,14,0,14,,12,,0,1,1,1,1,1,2,3,1,2,0,0,0,0,100,0,0,0,3500,1108,1500,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,18000,18000,18000, 60 months,11.8,398.59,B,B4,Manager,10+ years,RENT,68000,Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,953xx,CA,13.87,0,Jun-2005,0,,,10,0,19327,51.1,25,w,17778.41,17778.41,451.69,451.69,221.59,230.10,0.0,0.0,0.0,Feb-2019,469.39,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,38113,1,1,2,2,3,18786,97,0,1,6243,67,37800,0,0,0,3,3811,13773,58.4,0,0,162,79,15,3,0,15,,,,0,5,5,6,6,16,9,9,5,10,0,0,0,2,100,33.3,0,0,57208,38113,33100,19408,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,23000,23000,23000, 60 months,15.02,547.41,C,C3,Production Manager,10+ years,RENT,78000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,928xx,CA,16.54,2,Feb-1991,0,22,96,12,1,8491,30.5,20,w,22740.46,22740.46,614.59,614.59,259.54,355.05,0.0,0.0,0.0,Feb-2019,643.38,Mar-2019,Feb-2019,0,22,1,Individual,,,,0,0,23851,0,3,0,1,15,15360,48,1,1,4611,40,27800,1,0,1,2,2168,11066,38.5,0,0,69,332,9,9,0,9,22,9,22,1,3,6,5,8,6,8,13,6,12,0,0,1,1,90,20,1,0,59852,23851,18000,32052,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 36 months,19.92,445.48,D,D3,,< 1 year,RENT,42000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,936xx,CA,27.49,1,Mar-2001,0,21,,13,0,9898,42.1,18,w,11503.35,11503.35,871.04,871.04,496.65,374.39,0.0,0.0,0.0,Feb-2019,445.48,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,16144,0,2,0,0,35,6246,38,4,6,4119,41,23500,0,0,0,6,1242,7431,56,0,0,139,213,7,7,1,7,,18,46,0,4,5,6,6,5,11,12,5,13,0,0,0,4,88.9,50,0,0,39824,16144,16900,16324,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15000,15000,15000, 60 months,13.56,345.62,C,C1,,< 1 year,OWN,126000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,331xx,FL,15.64,0,Dec-2006,0,,,19,0,40235,43.7,34,w,14645.77,14645.77,674.29,674.29,354.23,320.06,0.0,0.0,0.0,Feb-2019,345.62,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,43959,0,1,0,1,17,3724,62,0,0,10807,45,89400,1,3,1,1,2314,16301,61.6,0,0,85,144,31,17,0,31,,1,,0,7,14,8,13,7,18,27,14,19,0,0,0,0,100,37.5,0,0,95400,43959,42500,6000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,30000,30000,30000, 60 months,18.94,777.23,D,D2,Pharmacy Technician Coordinator,10+ years,MORTGAGE,50000,Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,326xx,FL,19.52,0,Jul-2002,0,78,,8,0,12655,57.0,19,w,29387.75,29387.75,1507.11,1507.11,612.25,894.86,0.0,0.0,0.0,Feb-2019,777.23,Mar-2019,Feb-2019,0,78,1,Individual,,,,0,0,138278,0,2,1,2,9,14743,79,0,1,3363,67,22200,0,0,0,3,17285,3319,63.9,0,0,148,197,21,9,2,21,,,,3,2,4,2,5,7,5,10,4,8,0,0,0,1,84.2,50,0,0,172892,27398,9200,18692,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,20000,20000, 60 months,8.19,407.35,A,A4,Dept. Manager,10+ years,MORTGAGE,88000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,604xx,IL,7.39,0,Jun-1999,1,,,15,0,26428,34.8,21,w,19456.45,19456.45,801.05,801.05,543.55,257.50,0.0,0.0,0.0,Feb-2019,407.35,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,163262,2,0,0,0,37,0,,2,2,10771,35,75900,0,0,3,3,11662,41999,38.4,0,0,123,234,3,3,1,3,,3,,0,7,8,9,9,3,13,16,8,15,0,0,0,3,100,0,0,0,214556,26428,68200,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,14425,14425,14425, 36 months,11.31,474.38,B,B3,Senior Analyst,7 years,RENT,125000,Source Verified,Dec-2018,Current,n,,,other,Other,339xx,FL,15.57,0,Feb-2001,0,,67,21,1,14268,71.3,25,w,13744.96,13744.96,876.25,876.25,680.04,196.21,0.0,0.0,0.0,Feb-2019,474.38,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,116137,2,17,2,4,3,101869,106,1,2,9131,96,20000,2,0,1,6,5530,3160,77.4,0,0,214,56,2,2,0,2,,12,,0,3,4,3,3,21,4,4,4,21,0,0,0,3,100,66.7,1,0,150919,116137,14000,130919,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,36425,36425,36425, 60 months,11.8,806.58,B,B4,Insurance rep,10+ years,MORTGAGE,53000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,553xx,MN,23.89,0,Apr-1993,0,100,,14,0,2070,7.9,25,w,35523.79,35523.79,1577.34,1577.34,901.21,676.13,0.0,0.0,0.0,Feb-2019,806.58,Mar-2019,Feb-2019,0,100,1,Individual,,,,0,2207,154122,1,3,1,1,12,28862,68,1,1,1593,45,26300,1,0,1,2,11009,11898,11.9,0,0,161,308,5,5,1,5,100,12,100,2,2,7,2,4,5,10,19,7,14,0,0,0,2,92,0,0,0,197077,30932,13500,42243,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
